x,y,age,sex,prior_visit,behavior_type,group_number,group_type,group_leader,initial_energy,ID,role,exit,prompt,table,party,turned back x,turned back y,starting room,ids employees y/n,employee location x1,employee location y1,took,note
264,244,,,FALSE,,,,,100,b119,patron,S,,,,279.5,277.5,cabaret room,,,,,
250,232,,,FALSE,,20,4,,100,b140,patron,S,,,,,,cabaret room,,,,,
265,288,,,FALSE,,20,4,,100,b141,patron,S,,,,,,cabaret room,,,,,
270,272,,,FALSE,,21,4,,100,b144,patron,GC,,,,,,cabaret room,,,,,
267,323,,,FALSE,,21,4,,100,b145,patron,GC,,,,,,cabaret room,,,,,
247,240.5,,,FALSE,,22,4,,100,b152,patron,GC,,,,,,cabaret room,,,,,
247,240.5,,,FALSE,,22,4,,100,b153,patron,GC,,,,,,cabaret room,,,,,
270,294,,,FALSE,,23,4,,100,b155,patron,S,,,,268.5,245,cabaret room,,,,,
282,264,,,FALSE,,23,4,,100,b156,patron,S,,,,268.5,245,cabaret room,,,,,
253,247,,,TRUE,,28,4,,100,b180,tipped staff,,,,,-40,504,cabaret room,,,,,
277,245,,,TRUE,,28,4,,100,b180-a,tipped staff,,,,,-40,504,cabaret room,,,,,
260,209,,,TRUE,,,,,100,b181,tipped staff,S,,,,253.5,306,cabaret room,,,,,
258,231,,,TRUE,,29,4,,100,b182,tipped staff,GC,,,,,,cabaret room,,,,,
254,308,,,TRUE,,29,4,,100,b182-a,tipped staff,GC,,,,,,cabaret room,,,,,
281,230,,,FALSE,,,,,100,b? [I can't read that],patron,S,,,,,,cabaret room,,,,,
272,304,,male,FALSE,,,,,100,b?,patron,,,,,,,cabaret room,,,,,
264,267,,,FALSE,,,,,100,b192,patron,,,,,-40,504,cabaret room,,,,,
272,324,,,FALSE,,31,4,,100,b199,patron,GC,,,,,,cabaret room,,,,,
272,291,,,TRUE,,31,4,,100,b200,tipped staff,GC,,,,,,cabaret room,,,,,
281,212,,,FALSE,,32,4,,100,b202,patron,C,,,,,,cabaret room,,,,,
250,225,,,FALSE,,32,4,,100,b203,patron,C,,,,,,cabaret room,,,,,
258,224,,,FALSE,,33,4,,100,b204,patron,C,,,,,,cabaret room,,,,,
273,202,,,FALSE,,33,4,,100,b205,patron,C,,,,,,cabaret room,,,,,
271,281,,,FALSE,,,,,100,b208,patron,C,,,,,,cabaret room,,,,,
279,232,,,FALSE,,,,,100,b209,patron,C,,,,,,cabaret room,,,,,
280,195,,,FALSE,,,,,100,c41,patron,S,,,,231.5,255.5,cabaret room,,,,,
257,282,,,FALSE,,41,4,,100,c47,patron,S,,,,,,cabaret room,,,,,
271,243,,,FALSE,,41,4,,100,c48,patron,S,,,,,,cabaret room,,,,,
281,222,,,FALSE,,42,4,,100,c52,patron,S,,,,237,246.5,cabaret room,,,,,
278,302,,,FALSE,,42,4,,100,c52-a,patron,S,,,,237,246.5,cabaret room,,,,,
276,261,,,FALSE,,43,4,,100,c62,patron,C,,,,,,cabaret room,,,,,
257,251,,,FALSE,,43,4,,100,c62-a,patron,C,,,,,,cabaret room,,,,,
247,276,,,FALSE,,,,,100,c65,patron,C,,,,,,cabaret room,,,,,
261,241,,,FALSE,,46,4,,100,c69,patron,C,,,,,,cabaret room,,,,,
273,309,,,FALSE,,46,4,,100,c70,patron,C,,,,,,cabaret room,,,,,
246,316,,,FALSE,,47,4,,100,c71,patron,C,,,,,,cabaret room,,,,,
277,236,,,FALSE,,47,4,,100,c71-a,patron,C,,,,,,cabaret room,,,,,
273,237,,,FALSE,,47,4,,100,c71-b,patron,C,,,,,,cabaret room,,,,,
