x,y,age,sex,prior_visit, behavior_type, group_number, group_type, group_leader,initial_energy,x10,y10
25,12,29,male,FALSE,7,167,4,1,136,250,120
21,10.5,0,male,TRUE,6,168,2,1,100,210,105
24.5,10,0,male,FALSE,8,168,2,0,104,245,100
23,10,33,male,FALSE,8,169,5,0,146,230,100
23,10.5,41,male,FALSE,8,169,5,0,111,230,105
22,8,36,female,FALSE,4,169,5,1,147,220,80
26.5,7.5,21,female,FALSE,4,171,3,0,140,265,75
26.5,13.5,30,male,FALSE,8,171,3,1,106,265,135
17.5,9,27,female,TRUE,3,172,4,1,150,175,90
17.5,9.5,31,male,TRUE,7,172,4,0,143,175,95
17.5,8.5,38,female,FALSE,1,174,2,1,116,175,85
22,5.5,31,female,TRUE,1,174,2,0,119,220,55
24,6,27,male,FALSE,7,175,2,0,115,240,60
22,7.5,31,male,FALSE,8,175,2,1,82,220,75
15,11,34,male,FALSE,6,176,0,1,115,150,110
25.5,4,39,male,TRUE,8,177,4,0,95,255,40
17,6.5,35,female,TRUE,4,177,4,1,130,170,65
21.5,0.75,42,male,FALSE,6,178,2,0,145,215,7.5
13.5,4,0,male,TRUE,7,178,2,1,103,135,40
21.5,12.5,29,male,TRUE,6,182,0,1,146,215,121
27,1,40,male,TRUE,8,183,2,1,139,270,10
23.5,12,40,male,FALSE,7,184,2,1,105,235,120
23.5,6.5,0,male,TRUE,6,184,2,0,85,235,65
24,14,46,male,FALSE,8,185,2,0,90,240,140
18.5,4,40,male,TRUE,5,185,2,1,102,185,40
24,14.5,39,male,FALSE,8,185,2,0,119,240,145
7.5,1.5,35,male,TRUE,5,187,2,1,96,75,15
7.5,2,36,male,FALSE,5,187,2,0,144,75,20
22.5,13.5,36,female,TRUE,1,189,3,0,116,225,135
21,9,40,male,TRUE,7,189,3,1,134,210,90
15.5,16.5,33,female,TRUE,4,190,2,1,137,155,165
26.5,9,30,female,TRUE,3,190,2,0,148,265,90
25.5,12.5,24,female,FALSE,2,191,0,1,116,255,122
14.5,10,0,male,FALSE,6,192,0,1,132,145,100
21,5.5,25,male,TRUE,7,194,3,0,109,210,55
20.5,5.5,21,female,TRUE,4,194,3,1,130,205,55
25.5,13,23,male,FALSE,6,195,0,1,136,255,130
18,6,34,male,FALSE,7,199,0,1,144,180,60
20.5,11.5,37,male,TRUE,6,200,0,1,98,205,115
26,12.5,26,male,FALSE,6,202,0,1,142,260,122
26,9.5,31,male,FALSE,5,203,0,1,139,260,95
22.5,10.5,27,female,TRUE,4,204,0,1,143,225,105
23,14,40,female,TRUE,1,205,0,1,100,230,140
23,6.5,33,male,TRUE,5,208,0,1,143,230,65
17,10.5,28,male,FALSE,6,210,0,1,108,170,105
10,1.5,30,male,TRUE,8,300,1,1,85,100,15
12,2.5,38,male,TRUE,8,300,1,0,100,120,25
15.5,7,24,female,TRUE,1,300,1,0,105,155,70
17,8.5,30,female,FALSE,3,300,1,0,127,170,85
10,2.5,36,male,FALSE,5,300,1,0,102,100,25
16,11,27,female,TRUE,2,300,1,0,128,160,110
26,5.5,38,male,TRUE,6,300,1,0,119,260,55
14,10.5,19,male,TRUE,8,300,1,0,111,140,105
17.5,5.5,39,male,TRUE,8,300,1,0,91,175,55
14.7,5,28,female,TRUE,4,300,1,0,132,151,50
17.5,6,39,male,FALSE,6,300,1,0,116,175,60
14,12,34,female,TRUE,1,300,1,0,144,150,140
21.5,9,0,male,TRUE,5,300,1,0,129,215,90
21.5,11.5,41,male,TRUE,7,300,1,0,117,215,115
25,6.5,40,male,TRUE,7,300,1,0,103,250,65
14,5.5,0,female,TRUE,2,300,1,0,137,140,55
27.5,0.75,32,male,TRUE,6,300,5,0,155,275,7.5
25.5,6.5,26,male,TRUE,5,400,1,0,89,255,65
21,6.5,29,male,FALSE,5,400,1,0,107,210,65
29,11,35,male,FALSE,6,400,1,0,122,290,110
27,0.5,31,male,TRUE,7,400,1,0,90,270,5
29,10,31,male,FALSE,5,400,1,0,147,290,100
28,11,0,male,FALSE,8,400,1,0,112,280,110
26.5,12.5,32,male,FALSE,7,400,1,0,108,265,122
21,11,32,male,FALSE,5,400,1,0,124,210,110
26,12,48,male,FALSE,7,400,1,0,90,260,120
28,10,42,male,FALSE,6,400,1,0,80,280,100
14.5,10.5,33,male,FALSE,6,400,1,1,132,145,105
